time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,5
2023-03-28 00:00:00+00:00,7
2023-03-29 00:00:00+00:00,10
2023-03-30 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,17
2023-04-01 00:00:00+00:00,23
2023-04-02 00:00:00+00:00,99
2023-04-03 00:00:00+00:00,348
2023-04-04 00:00:00+00:00,585
2023-04-05 00:00:00+00:00,846
2023-04-06 00:00:00+00:00,1128
2023-04-07 00:00:00+00:00,1432
2023-04-08 00:00:00+00:00,1707
2023-04-09 00:00:00+00:00,1955
2023-04-10 00:00:00+00:00,2269
2023-04-11 00:00:00+00:00,2686
2023-04-12 00:00:00+00:00,3640
2023-04-13 00:00:00+00:00,5325
2023-04-14 00:00:00+00:00,7238
2023-04-15 00:00:00+00:00,8535
2023-04-16 00:00:00+00:00,9600
2023-04-17 00:00:00+00:00,10947
2023-04-18 00:00:00+00:00,11873
2023-04-19 00:00:00+00:00,12544
2023-04-20 00:00:00+00:00,13138
2023-04-21 00:00:00+00:00,13636
2023-04-22 00:00:00+00:00,14043
2023-04-23 00:00:00+00:00,14657
2023-04-24 00:00:00+00:00,15969
2023-04-25 00:00:00+00:00,16941
2023-04-26 00:00:00+00:00,17562
2023-04-27 00:00:00+00:00,18392
2023-04-28 00:00:00+00:00,18899
2023-04-29 00:00:00+00:00,19202
2023-04-30 00:00:00+00:00,19475
2023-05-01 00:00:00+00:00,19749
2023-05-02 00:00:00+00:00,20023
2023-05-03 00:00:00+00:00,20330
2023-05-04 00:00:00+00:00,20663
2023-05-05 00:00:00+00:00,20947
2023-05-06 00:00:00+00:00,21240
2023-05-07 00:00:00+00:00,21463
2023-05-08 00:00:00+00:00,21687
2023-05-09 00:00:00+00:00,21877
2023-05-10 00:00:00+00:00,22070
2023-05-11 00:00:00+00:00,22229
2023-05-12 00:00:00+00:00,22373
2023-05-13 00:00:00+00:00,22488
2023-05-14 00:00:00+00:00,22620
2023-05-15 00:00:00+00:00,22765
2023-05-16 00:00:00+00:00,22899
2023-05-17 00:00:00+00:00,23030
2023-05-18 00:00:00+00:00,23157
2023-05-19 00:00:00+00:00,23270
2023-05-20 00:00:00+00:00,23367
2023-05-21 00:00:00+00:00,23446
2023-05-22 00:00:00+00:00,23613
2023-05-23 00:00:00+00:00,23727
2023-05-24 00:00:00+00:00,23839
2023-05-25 00:00:00+00:00,23958
2023-05-26 00:00:00+00:00,24071
2023-05-27 00:00:00+00:00,24152
2023-05-28 00:00:00+00:00,24221
2023-05-29 00:00:00+00:00,24304
2023-05-30 00:00:00+00:00,24390
2023-05-31 00:00:00+00:00,24474
2023-06-01 00:00:00+00:00,24527
2023-06-02 00:00:00+00:00,24599
2023-06-03 00:00:00+00:00,24675
2023-06-04 00:00:00+00:00,24731
2023-06-05 00:00:00+00:00,24828
2023-06-06 00:00:00+00:00,24910
2023-06-07 00:00:00+00:00,24977
2023-06-08 00:00:00+00:00,25050
2023-06-09 00:00:00+00:00,25112
2023-06-10 00:00:00+00:00,25155
2023-06-11 00:00:00+00:00,25210
