time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,4203,756,3292,1860
2026-03-31 00:00:00+00:00,15388,1024,3896,1923
2026-04-01 00:00:00+00:00,20329,1016,3551,1922
2026-04-02 00:00:00+00:00,12712,1303,3723,1909
2026-04-03 00:00:00+00:00,14692,1360,3476,1852
2026-04-04 00:00:00+00:00,7020,917,2426,1341
2026-04-05 00:00:00+00:00,5886,1034,2725,1424
2026-04-06 00:00:00+00:00,4704,881,3425,1945
2026-04-07 00:00:00+00:00,12350,1677,3716,1945
2026-04-08 00:00:00+00:00,12230,1378,3813,2040
2026-04-09 00:00:00+00:00,11653,1258,3829,2214
2026-04-10 00:00:00+00:00,7578,1011,3148,1693
2026-04-11 00:00:00+00:00,8595,737,3219,1728
2026-04-12 00:00:00+00:00,7953,640,2550,1432
