url_path,views_total,views_unique
/Significant-Gravitas/AutoGPT,16153,11121
/significant-gravitas/autogpt,2338,1931
/Significant-Gravitas/AutoGPT/issues,728,349
/Significant-Gravitas/AutoGPT/pulls,582,218
/Significant-Gravitas/AutoGPT/blob/master/classic/FORGE-QUICKSTART.md,401,322
/Significant-Gravitas/AutoGPT/releases,355,254
/Significant-Gravitas/AutoGPT/tree/master/.agents,326,287
/Significant-Gravitas/AutoGPT/tree/master/autogpt_platform,303,252
/Significant-Gravitas/AutoGPT/releases/tag/autogpt-platform-beta-v0.6.58,297,243
/Significant-Gravitas/AutoGPT/tree/master,262,182
